SAMPLE	TAXON	LOCALE	LAT	LONG
ZJlo012	japonicus	KIKAI	28.317	129.9401
ZJlo015	japonicus	AMAMI	28.3192	129.2765
ZJlo016	japonicus	MIYAKOJIMA	24.7916	125.3302
ZJlo017	japonicus	IRIOMOTE	24.3301	123.8188
ZJlo021	japonicus	TOKUNOSHIMA	27.7904	128.9668
ZJlo022	japonicus	TOKUNOSHIMA	27.7904	128.9668
ZJlo024	japonicus	YONAGUMI	24.4680	123.0045
ZJlo031	japonicus	KUMEJIMA	26.3504	126.7712
ZJlo045	japonicus	AMAMI	28.3192	129.2765
ZJlo046	japonicus	MIYAKOJIMA	24.8218	125.3137
ZJlo050	japonicus	OKINOERABU	27.5737	128.5737
ZJlo052	japonicus	OKINOERABU	27.5737	128.5737
ZJlo055	japonicus	KIKAI	28.317	129.9401
ZJja001	japonicus	GEOJE	34.8806	128.6211
ZJja002	japonicus	GEOJE	34.8806	128.6211
ZJja003	japonicus	JEJU	33.489	126.4983
ZJja004	japonicus	JEJU	33.489	126.4983
ZJja005	japonicus	JEJU	33.489	126.4983
ZJja009	japonicus	HEUKSANDO	34.6707	125.4196
ZJja010	japonicus	HEUKSANDO	34.6707	125.4196
ZJja012	japonicus	HONSHU	36.0835	140.0764
ZJja013	japonicus	HONSHU	36.0835	140.0764
ZJja014	japonicus	HONSHU	35.9086	139.6248
ZJja016	japonicus	SHIKOKU	34.3708	133.9198
ZJja030	japonicus	HEUKSANDO	34.6707	125.4196
ZJal003	japonicus alani	HAHAJIMA	26.6735	142.1541
Zjal004	japonicus alani	HAHAJIMA	26.6735	142.1541
ZJal005	japonicus alani	HAHAJIMA	26.6735	142.1541
ZJal010	japonicus alani	ANEJIMA	26.5506	142.1581
ZJal011	japonicus alani	ANEJIMA	26.5506	142.1581
ZJal012	japonicus alani	ANEJIMA	26.5506	142.1581
ZJal020	japonicus alani	IWOTO	24.7876	141.3156
ZJst007	japonicus	KOZUSHIMA	34.2055	139.1345
ZJst009	japonicus	KOZUSHIMA	34.2055	139.1345
ZJst010	japonicus	KOZUSHIMA	34.2055	139.1345
ZJst012	japonicus	MIYAKEJIMA	34.0788	139.5178
ZJst014	japonicus	MIYAKEJIMA	34.0788	139.5178
ZJst015	japonicus	MIYAKEJIMA	34.0788	139.5178
ZJin001	japonicus	KAGOSHIMA	30.3715	130.6646
ZJin003	japonicus	KAGOSHIMA	30.3715	130.6646
ZJsi002	simplex	TAIWAN	22.7613	121.1438
ZJsi017	simplex	GUANGXI	22.8152	108.3275
ZJsi032	simplex	GUANGXI	22.8152	108.3275
ZJsi023	simplex	GUANGDONG	23.1317	113.2663
ZJsi024	simplex	GUANGDONG	23.1317	113.2663
ZJsi027	simplex	GUANGXI	22.8152	108.3275
ZJsi028	simplex	GUANGXI	22.8152	108.3275
ZJsi029	simplex	GUANGXI	22.8152	108.3275
ZJsi031	simplex	GUANGXI	22.8152	108.3275
ZPxx001	simplex	SINGAPORE	1.3189	103.8512
ZPxx002	simplex	SINGAPORE	1.3521	103.8198
ZMxx002	meyeni	BATAN	20.4700	121.9910
ZMxx003	meyeni	LANYU	22.0811	121.5048
ZMxx004	meyeni	LANYU	22.0811	121.5048
ZMxx005	meyeni	LANYU	22.0811	121.5048
