Museum,Catalog number,Genus,Species,Subspecies,Locale,Name,Group,BillCulmen,BillNareTip,BillDepth,BillWidth,Tarsus,Wing,Tail
Cincinnati Museum Center,B39029,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.79,7.77,3,3.09,17.2,61.5,36
Cincinnati Museum Center,B37675,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,11.04,7.7,3.06,3.31,18.19,55,34
Cincinnati Museum Center,B37676,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.13,7.66,2.95,3.21,18.22,57,35
Cincinnati Museum Center,B37376,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.66,7.68,3.39,3.53,20.94,57.5,36
Cincinnati Museum Center,B35538,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.01,6.63,3.15,3.48,17.9,52,33
Cincinnati Museum Center,B37674,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.44,7.25,3.18,2.96,17.55,57,35
Cincinnati Museum Center,B35539,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.69,8.54,3.22,2.87,16.26,55.5,36
Cincinnati Museum Center,B35541,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.56,7.13,3.64,3.54,16.43,52,32
Cincinnati Museum Center,B35543,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.29,7.48,2.82,3.22,15.76,55,38
Cincinnati Museum Center,B35540,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.43,7.21,3.13,3.48,15.71,53,34
Cincinnati Museum Center,B35626,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.92,7.76,3.26,2.93,17.34,52,38
Cincinnati Museum Center,B36301,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.69,7.21,3.06,3.45,18.15,54,34
Cincinnati Museum Center,B35836,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.08,7.28,2.91,3.58,17.95,58.5,34
Cincinnati Museum Center,B36302,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.97,7.71,2.99,3.41,16.24,53.5,33
Cincinnati Museum Center,B35837,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.95,7.58,3.1,3.79,17.15,58.5,29
Cincinnati Museum Center,B35838,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.92,7.97,2.78,3.24,15.86,58,35
Cincinnati Museum Center,B38163,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,11.11,8.58,3.24,3.76,16.74,59,36
Cincinnati Museum Center,B36897,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.55,8.36,3.46,3.49,17.48,51,35
Cincinnati Museum Center,B39200,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.86,7.22,3.61,3.3,16.28,57,33
Cincinnati Museum Center,B39198,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.16,7.71,3.13,3.6,17.17,54.5,34
Cincinnati Museum Center,B36817,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.08,8.03,3.03,3.72,17.41,54,37
